發料單號,Name,色系名稱,色系編號,成品布號,OP否,DPF,機器規格,染缸容量KG,主泵轉數,帶布輪轉速,噴嘴大小,循環時間,總圈數,浴比,色號,是否有追加,標準樣L,L,CIE_DL,CMC_DL,標準樣a,a,CIE_Da,標準樣b,b,CIE_Db,標準樣C,C,CMC_DC,標準樣h,h,CMC_Dh,CMC_DE,配方料號1,配方濃度1,配方料號2,配方濃度2,配方料號3,配方濃度3,配方料號4,配方濃度4,配方料號5,配方濃度5,配方料號6,配方濃度6,配方料號7,配方濃度7
F9302-25063841,F9302-25063841,BK,7,SCK-4186,N,1.04167,Rapido-1,600,1250,1050,30*40,68.00,391.16,9.30,A1605-23040175-5C1,Y,15.33,15.92,0.59,,0.62,0.71,0.09,-1.42,-1.16,0.27,,,,,,,0.69,1430,0.17,1862,0.025,1142,0.00063,無,0,無,0,無,0,無,0
F9302-25070097,F9302-25070097,PI,3,SCK-4186EM,N,1.04167,Rapido-1,600,1200,1000,30*40,52.50,564.99,12.35,A1605-25030097-1A,Y,54.07,54.92,0.86,,55.59,56.13,0.54,-0.88,0.34,1.22,,,,,,,0.79,1384,0.6336,1034,0.121,無,0,無,0,無,0,無,0,無,0
F9302-25070172,F9302-25070172,GY,2,SCK-3230,N,1.66667,Rapido-2,200,1150,950,25*2,152.00,146.41,10.00,1711131-1A,N,32.95,32.49,-0.46,,-0.86,-0.70,0.16,-1.88,-1.75,0.12,,,,,,,0.38,1576,0.7293,1724,0.5508,1430,0.044,無,0,無,0,無,0,無,0
F9302-25070251,F9302-25070251,BK,3,SCK-3804,Y,1.04167,Rapido-2,400,1100,900,35*50,83.00,136.08,5.00,A1605-23090155-6B,N,19.36,18.01,-1.35,,-0.19,0.09,0.28,-2.55,-2.11,0.43,,,,,,,1.32,1862,2.5,1722,0.21,1430,0.0275,無,0,無,0,無,0,無,0
F9302-25070291,F9302-25070291,BK,3,SCW-136WP4,Y,0.69444,Rapido-2,800,1250,1050,25X3,55.75,249.22,12.12,2007048-1A,N,18.46,17.61,-0.85,,0.20,0.43,0.23,-2.45,-1.49,0.96,,,,,,,1.47,1862,3.4,1722,0.625,1588,0.54,1848,0.45,1430,0.152,無,0,無,0
F9302-25070296,F9302-25070296,YE,2,SCW-136WP4,Y,0.69444,Rapido-2,100,1300,1000,25X3,18.50,609.89,22.73,A1605-24110105-1D,Y,81.18,84.89,3.72,,7.35,2.31,-5.04,83.88,81.28,-2.60,,,,,,,3.18,1191,0.8,1201,0.035,1580,0.001,無,0,無,0,無,0,無,0
F9302-25070326,F9302-25070326,GY,2,SW-80462C0,Y,1.04167,Rapido-2,100,1200,900,40*30,16.50,1352.06,11.63,A1605-25030228-2A,N,64.89,64.38,-0.51,,-5.35,-5.82,-0.47,-4.27,-5.26,-0.99,,,,,,,1.12,1565,0.0985,1722,0.0132,1191,0.0128,1430,0.0051,無,0,無,0,無,0
F9302-25070330,F9302-25070330,GR,2,SCK-3828,N,1.04167,Conveyor-1,300,80,270,140,483.00,38.49,5.83,A1605-25060151-1B,N,52.37,51.26,-1.12,,-12.15,-11.69,0.45,10.51,10.21,-0.29,,,,,,,0.62,1191,0.15,1430,0.027,無,0,無,0,無,0,無,0,無,0
F9302-25070333,F9302-25070333,RE,2,SCK-3928,N,1.04167,Rapido-1,600,1200,900,40*40,72.75,238.46,0.00,A1605-25050108-9D,N,69.21,68.55,-0.65,,12.92,13.66,0.74,9.19,8.85,-0.34,,,,,,,1.02,1310,0.165,1111,0.11,1510,0.027,無,0,無,0,無,0,無,0
F9302-25070371,F9302-25070371,NB,6,SCK-3724,Y,0.69444,Rapido-2,100,1250,1000,30*4,10.50,2107.62,20.00,A1605-25060112-1A,N,23.24,23.47,0.23,,8.13,7.64,-0.49,-26.66,-26.21,0.45,,,,,,,0.46,1588,1.368,1578,1.224,1640,0.639,1722,0.0234,無,0,無,0,無,0
F9302-25070373,F9302-25070373,BL,5,SCK-363,N,2.08333,Rapido-2,200,1200,1000,25*25,72.00,422.75,6.33,A1605-25050070-2A,Y,24.28,24.00,-0.29,,-1.13,-0.82,0.31,-8.97,-8.20,0.77,,,,,,,0.78,1578,1.1,1430,0.5,1142,0.29,無,0,無,0,無,0,無,0
F9302-25070383,F9302-25070383,GR,3,PA-AS0056,N,1.04167,Rapido-2,50,1200,1000,30*30,7.50,1878.27,15.00,2010033-4A,Y,29.55,31.47,1.93,,-11.49,-11.83,-0.33,3.81,5.07,1.26,,,,,,,1.73,1585,0.594,1578,0.432,1191,0.336,1567,0.1875,1201,0.004,無,0,無,0
F9302-25070385,F9302-25070385,BK,7,SK-1272,N,0.59524,Rapido-1,600,1250,1050,25*30,107.25,166.08,6.25,A1605-25020142-2A,N,18.75,18.29,-0.46,,0.63,0.56,-0.07,0.21,-0.14,-0.35,,,,,,,0.66,1862,4.68,1430,1.625,1191,1.2,1863,0.25,無,0,無,0,無,0
F9302-25070389,F9302-25070389,BK,7,SK-1272,N,0.59524,Rapido-1,600,1250,1050,25*30,112.50,163.52,6.27,A1605-25020142-2A,N,18.75,18.52,-0.22,,0.63,0.50,-0.13,0.21,-0.11,-0.32,,,,,,,0.54,1862,4.68,1430,1.625,1191,1.2,1863,0.25,無,0,無,0,無,0
F9302-25070409,F9302-25070409,BL,1,SCK-3928,N,1.04167,Rapido-2,200,1200,900,40*4,33.00,376.64,12.50,A1605-25050020-1D,N,76.40,76.05,-0.35,,-11.17,-11.41,-0.23,-11.98,-12.26,-0.28,,,,,,,0.27,1580,0.12,1430,0.0081,1142,0.0027,無,0,無,0,無,0,無,0
F9302-25070417,F9302-25070417,GR,2,SCK-3624S,N,1.04167,Rapido-2,400,1250,1000,35*40,67.50,751.50,5.00,A1605-21110189-1B,Y,31.57,32.01,0.44,,-0.06,-0.83,-0.78,6.25,6.51,0.26,,,,,,,1.11,1578,0.392,1722,0.364,1191,0.33,1565,0.33,1391,0.1674,無,0,無,0
F9302-25070426,F9302-25070426,BK,3,SW-80779C0,Y,1.04167,Rapido-2,300,1300,1000,35*40,52.00,124.17,5.95,A1605-23110101-1D,N,16.25,16.74,0.49,,0.67,0.50,-0.17,-0.70,-1.40,-0.70,,,,,,,1.14,1862,4.176,1722,0.44,1848,0.406,1588,0.0015,無,0,無,0,無,0
F9302-25070435,F9302-25070435,GY,3,SCK-3847ST,Y,1.04167,Rapido-2,200,1300,1050,30*40,54.00,506.50,6.25,A1605-25040105-4A,Y,63.44,62.26,-1.18,,0.10,0.39,0.29,0.31,-0.23,-0.54,,,,,,,1.05,1576,0.084,1430,0.042,1142,0.032,1201,0.0045,無,0,無,0,無,0
F9302-25070437,F9302-25070437,GR,3,SW-81179C0,Y,1.04167,Rapido-2,50,1300,950,45*3,11.00,2180.91,8.33,A1605-25030258-6B,N,47.12,46.66,-0.46,,-7.89,-7.70,0.19,3.98,2.92,-1.06,,,,,,,1.15,1565,0.405,1191,0.184,1391,0.114,1722,0.0285,無,0,無,0,無,0
F9302-25070441,F9302-25070441,GR,2,SCK-3843S,Y,0.69444,Rapido-2,400,1200,1000,30*40,71.00,195.68,5.65,A1605-23050051-1A,Y,35.28,35.85,0.57,,-28.43,-28.85,-0.42,-2.24,-2.40,-0.16,,,,,,,0.40,1585,1.575,1588,1.24,1565,0.578,1142,0.36,1567,0.27,無,0,無,0
F9302-25070463,F9302-25070463,GY,2,SCK-3562,N,0.69444,Rapido-2,400,1200,1000,30*3,82.00,29.87,6.25,A1605-24090190-5A,N,53.73,53.67,-0.05,,3.88,4.07,0.20,-3.04,-2.79,0.24,,,,,,,0.40,1565,0.21285,1391,0.12096,1724,0.108,1142,0.01749,無,0,無,0,無,0
F9302-25070473,F9302-25070473,BK,7,SW-81081C0,Y,1.04167,Rapido-2,100,1250,1000,35*4,15.00,1892.67,10.26,A1605-25040118-2B,N,18.79,17.45,-1.34,,-0.38,-0.20,0.18,-2.27,-2.19,0.08,,,,,,,1.19,1862,2.98,1588,0.8,1391,0.58,1191,0.223,無,0,無,0,無,0
F9302-25070474,F9302-25070474,GR,3,SCK-4186,N,1.04167,Rapido-2,50,1250,1050,30*40,8.00,3816.50,25.00,A1605-23100013-3A,Y,41.51,43.54,2.03,,-10.47,-10.65,-0.19,4.48,4.65,0.17,,,,,,,1.05,1593,0.4386,1191,0.32,1430,0.1188,無,0,無,0,無,0,無,0
F9302-25070479,F9302-25070479,NB,7,SCK-3847,Y,1.04167,Rapido-2,400,1300,1050,30*40,36.00,639.28,10.42,A1605-25040105-2D,N,21.56,21.80,0.24,,0.44,0.61,0.17,-11.10,-10.80,0.30,,,,,,,0.38,1578,1.4175,1862,1.3905,1391,0.2575,無,0,無,0,無,0,無,0
F9302-25070480,F9302-25070480,BK,6,SCK-3928,N,1.04167,Rapido-2,400,1250,1000,35*40,72.00,179.15,5.41,A1605-25050108-1A,N,19.34,18.88,-0.46,,-0.33,-0.47,-0.14,-1.67,-1.94,-0.27,,,,,,,0.56,1862,2.592,1391,0.42,1142,0.0021,無,0,無,0,無,0,無,0
F9302-25070487,F9302-25070487,GY,3,SCK-3562,N,0.69444,Rapido-2,400,1200,1000,30*3,72.50,241.43,7.14,A1605-24090190-2A,N,39.55,40.02,0.47,,-2.99,-3.15,-0.16,-7.58,-7.87,-0.28,,,,,,,0.39,1722,0.11,1191,0.08383,1391,0.04784,無,0,無,0,無,0,無,0
F9302-25070488,F9302-25070488,GY,3,SCK-3562,N,0.69444,Rapido-2,400,1200,1000,30*3,73.00,270.22,7.14,A1605-24090190-2A,N,39.55,40.06,0.51,,-2.99,-3.21,-0.22,-7.58,-7.78,-0.20,,,,,,,0.39,1722,0.11,1191,0.08383,1391,0.04784,無,0,無,0,無,0,無,0
F9302-25070494,F9302-25070494,GY,2,SCK-3562,N,0.69444,Rapido-2,400,1200,1000,30*3,88.50,314.46,6.25,A1605-24090190-5A,Y,53.73,54.18,0.45,,3.88,4.11,0.23,-3.04,-2.58,0.46,,,,,,,0.67,1565,0.21285,1391,0.12096,1724,0.108,1142,0.01749,無,0,無,0,無,0
F9302-25070498,F9302-25070498,BK,3,SCK-4402,N,0.69444,Rapido-2,300,1200,1000,30*30,42.50,1010.99,10.10,A1605-24070056-1A,Y,18.86,19.20,0.34,,0.25,-0.25,-0.49,-1.95,-2.56,-0.61,,,,,,,1.09,1862,2.354,1391,0.95,1588,0.66,1191,0.34,無,0,無,0,無,0
F9302-25070500,F9302-25070500,BK,7,SCK-906,N,0.69444,Rapido-2,300,1250,1050,35*40,45.50,528.59,10.20,A1605-25030215-9B,Y,17.37,17.48,0.11,,0.01,-0.19,-0.20,-2.49,-2.68,-0.18,,,,,,,0.37,1862,3.5,1863,1.02,1391,0.32,1191,0.09,無,0,無,0,無,0
F9302-25070501,F9302-25070501,BL,3,SCK-3344,N,1.04167,Rapido-1,600,1250,1050,35*5,52.00,314.54,6.71,A1605-23040014-1A,N,21.02,20.92,-0.10,,1.26,1.32,0.05,-14.55,-14.38,0.18,,,,,,,0.16,1578,1.02,1862,0.776,1430,0.304,1588,0.095,無,0,無,0,無,0
F9302-25070502,F9302-25070502,KH,1,SCK-906,N,0.69444,Rapido-2,400,1250,1050,35*40,48.50,476.41,10.00,A1605-25030215-11B,Y,82.72,83.32,0.60,,0.06,-0.29,-0.35,3.46,3.43,-0.03,,,,,,,0.51,1111,0.02268,1310,0.01974,1510,0.0168,無,0,無,0,無,0,無,0
F9302-25070513,F9302-25070513,NB,6,SW-81081C0,Y,1.04167,Rapido-2,100,1250,1000,35*40,14.00,2122.14,13.16,A1605-25040118-3C,N,19.88,19.52,-0.36,,0.51,0.67,0.16,-10.57,-10.41,0.16,,,,,,,0.39,1578,1.6,1576,1.1,1722,0.427,1191,0.042,無,0,無,0,無,0
F9302-25070524,F9302-25070524,GY,2,SCK-3230,N,1.66667,Rapido-2,200,1150,950,25*2,149.00,119.82,12.50,1711131-1A,N,32.95,31.89,-1.06,,-0.86,-0.73,0.12,-1.88,-2.05,-0.17,,,,,,,0.68,1576,0.7293,1724,0.5508,1430,0.044,無,0,無,0,無,0,無,0
F9302-25070541,F9302-25070541,GR,2,SW-80779C0,Y,1.04167,Rapido-2,400,1300,1000,35*40,70.00,273.03,5.50,A1605-24090044-1A,N,47.21,47.93,0.72,,2.50,2.45,-0.05,19.10,18.98,-0.12,,,,,,,0.35,1724,0.4559,1576,0.2064,1201,0.0912,1142,0.08008,無,0,無,0,無,0
F9302-25070552,F9302-25070552,BK,7,SCK-363,N,2.08333,Rapido-2,300,1250,1000,30*30,57.00,291.37,7.14,A1605-25050070-1B,N,15.55,15.23,-0.32,,-0.32,-0.47,-0.15,-0.79,-0.99,-0.20,,,,,,,0.48,1862,3.5,1863,1.35,1191,0.35,1430,0.12,無,0,無,0,無,0
F9302-25070567,F9302-25070567,GY,2,SCK-3562,N,0.69444,Rapido-2,400,1200,1000,30*3,88.50,568.50,6.29,A1605-24090190-5A,Y,53.73,55.85,2.12,,3.88,2.00,-1.87,-3.04,-3.74,-0.70,,,,,,,2.65,1565,0.21285,1391,0.12096,1724,0.108,1142,0.01749,無,0,無,0,無,0
F9302-25070580,F9302-25070580,GR,4,SW-80602C0,Y,1.04167,Rapido-2,100,1250,1000,30*40,12.00,1785.42,12.50,A1605-25040042-2A,N,39.64,39.09,-0.56,,-3.07,-3.20,-0.13,12.98,12.58,-0.40,,,,,,,0.46,1565,0.571,1191,0.32,1201,0.252,1391,0.161,無,0,無,0,無,0
F9302-25070583,F9302-25070583,GR,2,SCK-3624S,N,1.04167,Rapido-2,400,1250,1000,35*40,41.50,347.47,8.40,A1605-24090187-1A,N,33.29,33.21,-0.08,,-5.94,-6.02,-0.08,19.18,18.79,-0.39,,,,,,,0.27,1722,0.4284,1565,0.3456,1142,0.0074,無,0,無,0,無,0,無,0
F9302-25070584,F9302-25070584,GY,2,SCK-3230,N,1.66667,Rapido-2,200,1150,950,25*2,161.00,106.05,10.00,1711131-1A,N,32.95,31.76,-1.18,,-0.86,-0.75,0.11,-1.88,-1.68,0.19,,,,,,,0.75,1576,0.7293,1724,0.5508,1430,0.044,無,0,無,0,無,0,無,0
F9302-25070588,F9302-25070588,GR,2,SCK-3843S,Y,0.69444,Rapido-2,400,1200,1000,30*40,67.00,512.96,5.49,A1605-23050051-1A,Y,35.28,34.90,-0.38,,-28.43,-28.47,-0.04,-2.24,-2.73,-0.49,,,,,,,0.39,1585,1.61,1588,1.271,1565,0.5984,1567,0.264,1142,0.0045,無,0,無,0
F9302-25070598,F9302-25070598,PU,6,SCK-3922,Y,0.59524,Rapido-2,50,1250,1000,35*4,16.50,970.85,6.25,A1605-25030219-3E,N,27.30,25.07,-2.23,,6.71,5.88,-0.83,-8.01,-8.19,-0.18,,,,,,,1.76,1565,1,1724,0.885,1430,0.87,1588,0.482,無,0,無,0,無,0
F9302-25070599,F9302-25070599,WH,3,SCK-3922,Y,0.59524,Rapido-2,400,1250,1000,35*4,16.00,894.75,25.64,A1605-24010094-3A,N,90.24,90.37,0.13,,0.15,0.42,0.27,6.19,6.12,-0.07,,,,,,,0.38,1111,0.0078,1310,0.0054,1510,0.002,無,0,無,0,無,0,無,0
F9302-25070603,F9302-25070603,GY,3,SCK-4173,N,0.83333,Rapido-2,400,1200,1000,25*3,63.00,295.86,9.90,A1605-24060068-1B,N,18.01,17.38,-0.63,,-0.39,-0.21,0.17,-2.76,-2.97,-0.21,,,,,,,0.66,1862,1.3,1578,1.2,1391,0.84,1142,0.4738,無,0,無,0,無,0
F9302-25070613,F9302-25070613,GY,2,SCK-3230,N,1.66667,Rapido-2,200,1150,950,25*2,151.00,229.58,12.50,1711131-1A,N,32.95,32.00,-0.95,,-0.86,-0.77,0.09,-1.88,-1.75,0.12,,,,,,,0.59,1576,0.7293,1724,0.5508,1430,0.044,無,0,無,0,無,0,無,0
F9302-25070620,F9302-25070620,GY,2,SCK-3230,N,1.66667,Rapido-2,200,1150,950,25*2,156.00,237.85,12.50,1711131-1A,Y,32.95,32.12,-0.83,,-0.86,-0.69,0.16,-1.88,-1.50,0.38,,,,,,,0.73,1724,0.5508,1430,0.044,無,0,無,0,無,0,無,0,無,0
F9302-25070626,F9302-25070626,BK,6,SK-1125C0,N,3.125,Rapido-1,600,1100,600,45*5,116.50,507.78,5.36,A1605-25020141-2A,Y,13.56,13.15,-0.41,,1.04,1.42,0.38,-0.14,0.08,0.22,,,,,,,0.75,1862,1.875,1430,0.648,1191,0.45,無,0,無,0,無,0,無,0
F9302-25070636,F9302-25070636,KH,3,SW-80242C07,Y,1.04167,Rapido-2,400,1300,1050,35*40,48.00,470.56,6.62,A1605-25020162-4A,N,52.71,52.07,-0.65,,3.10,3.18,0.08,14.03,14.10,0.08,,,,,,,0.31,1191,0.15272,1565,0.13,1430,0.09646,1201,0.00094,無,0,無,0,無,0
F9302-25070651,F9302-25070651,YE,2,SCK-4173,N,0.83333,Rapido-2,400,1200,1000,25*3,32.50,899.88,10.00,A1605-24100099-3A,Y,71.07,70.89,-0.18,,4.39,5.09,0.70,67.71,68.12,0.41,,,,,,,0.44,1142,0.399,1201,0.2142,1580,0.04465,無,0,無,0,無,0,無,0
F9302-25070652,F9302-25070652,GR,1,SCK-4173,N,0.83333,Rapido-2,100,1200,1000,25*3,25.00,1290.28,10.00,A1605-24100099-4A,Y,34.15,33.80,-0.35,,-7.30,-7.00,0.30,17.14,17.73,0.59,,,,,,,0.56,1191,0.68385,1722,0.45,1578,0.2976,1568,0.25,無,0,無,0,無,0
F9302-25070653,F9302-25070653,BK,3,SCK-3922,Y,0.59524,Rapido-2,50,1250,1000,35*4,9.00,2768.89,12.50,A1605-21100133-1A,N,15.26,14.76,-0.50,,0.48,0.50,0.02,-1.17,-1.25,-0.08,,,,,,,0.51,1862,3.33,1722,0.85,1588,0.585,1848,0.555,1430,0.385,無,0,無,0
F9302-25070673,F9302-25070673,GR,3,SCW-814,Y,1.04167,Rapido-1,600,1300,900,45*5,51.00,803.24,7.23,A1605-23080084-2A,Y,25.94,27.24,1.31,,-4.69,-5.19,-0.50,-5.99,-5.20,0.79,,,,,,,1.42,1391,0.05035,1578,0.019,1201,0.0045,1142,0.0024,無,0,無,0,無,0
F9302-25070674,F9302-25070674,BK,6,SK-1125C0,N,3.125,Rapido-1,600,1100,600,45*5,118.00,287.73,5.37,A1605-25020141-2A,Y,13.56,12.81,-0.75,,1.04,1.35,0.31,-0.14,0.15,0.30,,,,,,,0.96,1862,1.875,1430,0.648,1191,0.45,無,0,無,0,無,0,無,0
F9302-25070675,F9302-25070675,BR,1,SK-1125C0,N,3.125,Rapido-2,400,1100,600,45*5,52.50,467.49,6.25,A1605-24060046-1A,Y,54.09,51.68,-2.41,,13.22,13.51,0.29,25.25,25.17,-0.08,,,,,,,1.12,1191,0.132,1430,0.07695,1201,0.037,1565,0.03132,無,0,無,0,無,0
F9302-25070676,F9302-25070676,GR,2,SCK-3843S,Y,0.69444,Rapido-2,400,1200,1000,30*40,62.50,377.14,5.68,A1605-23050051-1A,N,35.28,35.24,-0.04,,-28.43,-28.75,-0.32,-2.24,-2.11,0.13,,,,,,,0.19,1585,1.61,1588,1.271,1565,0.612,1142,0.369,1567,0.27,無,0,無,0
F9302-25070686,F9302-25070686,GR,3,SCK-3928,N,1.04167,Rapido-2,600,1250,1000,40*30,52.25,290.83,5.83,A1605-25050108-8B,N,47.02,46.14,-0.88,,-8.47,-8.36,0.11,3.63,3.34,-0.29,,,,,,,0.52,1565,0.48,1191,0.17,1722,0.075,1391,0.072,無,0,無,0,無,0
F9302-25070691,F9302-25070691,BK,7,SCK-3714,N,0.90278,Rapido-2,300,1250,1000,30*30,62.50,371.90,10.53,A1605-25020099-3A,N,19.37,19.17,-0.21,,1.23,1.54,0.30,-1.15,-0.97,0.18,,,,,,,0.51,1862,2.5,1391,0.9,1191,0.5,1722,0.08,無,0,無,0,無,0
F9302-25070693,F9302-25070693,GY,3,SCK-1268S,Y,0.52083,Rapido-2,100,1200,900,40*30,23.00,842.48,8.33,1411059-1B,N,62.46,62.08,-0.38,,2.32,2.44,0.12,6.68,7.03,0.36,,,,,,,0.39,1862,1.155,1391,0.304,1142,0.11475,1588,0.078,無,0,無,0,無,0
F9302-25070694,F9302-25070694,BL,2,SW-80661C0,Y,1.04167,Rapido-2,800,1250,1050,35*5,67.25,363.38,6.27,A1605-24060130-1D,N,62.46,62.41,-0.05,,2.32,2.05,-0.27,6.68,6.44,-0.24,,,,,,,0.41,1593,0.637,1724,0.2142,1430,0.0404,無,0,無,0,無,0,無,0
F9302-25070696,F9302-25070696,GR,3,SW-81081C0,Y,1.04167,Rapido-2,100,1250,1000,40*30,14.00,1888.14,12.82,A1605-25040118-4A,N,46.26,45.63,-0.63,,-7.48,-7.47,0.00,4.04,3.87,-0.17,,,,,,,0.35,1565,0.394,1191,0.18,1391,0.112,1722,0.027,無,0,無,0,無,0
F9302-25070740,F9302-25070740,NB,5,SCW-136WP4,Y,0.69444,Rapido-2,100,1300,1100,25X3,28.50,701.89,10.00,A1605-25050178-4B,N,22.01,22.36,0.35,,-0.19,-0.10,0.09,-11.30,-11.14,0.17,,,,,,,0.32,1862,1.3,1588,0.64,1578,0.55,1430,0.42,無,0,無,0,無,0
F9302-25070745,F9302-25070745,GY,2,SCK-3562,N,0.69444,Rapido-2,400,1200,1000,30*3,90.00,432.82,6.25,A1605-24090190-5A,Y,53.73,53.91,0.18,,3.88,4.05,0.18,-3.04,-2.46,0.58,,,,,,,0.76,1565,0.21285,1391,0.12096,1724,0.108,1142,0.01749,無,0,無,0,無,0
F9302-25070749,F9302-25070749,BR,5,SK-1272,N,0.59524,Rapido-2,400,1250,1050,25*30,79.00,16.84,8.33,A1605-24110042-1A,N,43.54,42.98,-0.26,,17.22,17.49,0.28,23.73,23.87,0.20,,,,,,,0.25,1724,1.235,1391,0.5795,1142,0.38475,1565,0.2403,無,0,無,0,無,0
F9302-25070753,F9302-25070753,GY,2,SW-80779C0,Y,1.04167,Rapido-2,800,1300,1000,35*40,62.25,749.03,6.63,A1605-24100111-1B,Y,67.23,67.48,0.25,,-2.50,-2.00,0.51,-6.05,-6.27,-0.21,,,,,,,0.70,1510,0.07872,1310,0.058,1111,0.03724,無,0,無,0,無,0,無,0
F9302-25070766,F9302-25070766,BK,3,SCK-3725,Y,1.04167,Rapido-2,400,1200,1000,40X30,45.00,1540.67,7.52,2008064-1A,Y,17.34,17.87,0.54,,-0.08,0.48,0.56,-3.01,-3.04,-0.03,,,,,,,0.89,1862,3.2,1848,0.5,1588,0.06,1383,0.004,無,0,無,0,無,0
F9302-25070782,F9302-25070782,GR,2,SW-80779C0,Y,1.04167,Rapido-2,400,1300,1000,35*40,70.50,288.28,5.50,A1605-24090044-1A,N,47.21,47.96,0.76,,2.50,2.40,-0.09,19.10,18.83,-0.27,,,,,,,0.40,1724,0.4559,1142,0.08008,1201,0.00095,無,0,無,0,無,0,無,0
F9302-25070802,F9302-25070802,BK,7,SCK-3714,N,0.90278,Rapido-2,300,1250,1000,30*30,52.50,402.17,12.35,A1605-25020099-3A,N,19.37,19.22,-0.15,,1.23,1.44,0.20,-1.15,-1.06,0.10,,,,,,,0.33,1862,2.5,1391,0.882,1191,0.5,1722,0.08,無,0,無,0,無,0
F9302-25070808,F9302-25070808,GY,1,SCK-479S,N,1.04167,Rapido-2,400,1300,1100,40*5,36.00,734.28,8.20,A1605-24110133-2A,Y,79.80,79.96,0.16,,-0.08,0.08,0.16,5.36,4.88,-0.48,,,,,,,0.55,1111,0.02891,1310,0.02401,1510,0.015,無,0,無,0,無,0,無,0
F9302-25070821,F9302-25070821,GY,3,SCK-4186,N,1.04167,Rapido-2,400,1200,1000,30*3,60.50,447.75,9.35,A1605-24120070-1A,N,39.55,39.39,-0.16,,-2.99,-2.78,0.21,-7.58,-7.31,0.27,,,,,,,0.33,1724,0.3,1578,0.29,1565,0.21,1391,0.053,無,0,無,0,無,0
F9302-25070823,F9302-25070823,BK,3,SCK-3852,N,1.04167,Rapido-2,600,1250,1050,30*4,69.75,343.18,5.01,A1605-21040039-1C,N,15.35,16.21,0.62,,-0.26,0.25,0.19,-2.11,-1.45,0.18,,,,,,,0.70,1862,4.8,1863,0.55,1430,0.36,1142,0.0045,無,0,無,0,無,0
F9302-25070838,F9302-25070838,GY,1,SCK-479S,N,1.04167,Rapido-2,400,1300,1100,40*5,38.50,676.03,8.33,A1605-24110133-5B,Y,64.85,64.73,-0.12,,-0.45,-0.02,0.42,4.68,4.14,-0.54,,,,,,,0.80,1565,0.06864,1391,0.053,1142,0.0357,無,0,無,0,無,0,無,0
F9302-25070845,F9302-25070845,NB,3,SCK-3852,N,1.04167,Rapido-1,600,1400,1200,30*30,50.25,461.25,5.57,A1605-21020125-1E,N,19.01,20.05,0.02,,1.83,2.74,0.09,-14.81,-12.43,0.23,,,,,,,0.24,1578,1.955,1724,0.588,1430,0.5712,無,0,無,0,無,0,無,0
F9302-25070860,F9302-25070860,BK,7,SCK-3714,N,0.90278,Rapido-2,300,1250,1000,30*30,51.50,433.13,12.35,A1605-25020099-3A,N,19.37,19.30,-0.07,,1.23,1.22,-0.01,-1.15,-1.16,-0.01,,,,,,,0.06,1862,2.5,1391,0.855,1191,0.5,1722,0.08,無,0,無,0,無,0
F9302-25070871,F9302-25070871,BK,6,SK-1125C0,N,3.125,Rapido-1,600,1100,600,45*5,121.50,384.28,5.37,A1605-25020141-2A,Y,13.56,13.60,0.04,,1.04,1.29,0.25,-0.14,0.37,0.52,,,,,,,0.82,1862,1.7,1430,0.552,1191,0.45,無,0,無,0,無,0,無,0
F9302-25070876,F9302-25070876,RE,6,SW-81179C0,Y,1.04167,Rapido-2,100,1300,850,45*40,13.00,2221.85,13.16,A1605-25030258-5A,N,29.76,30.13,0.37,,21.79,22.03,0.23,8.44,8.51,0.07,,,,,,,0.27,1362,1.4,1383,1.4,1191,0.62,無,0,無,0,無,0,無,0
F9302-25070880,F9302-25070880,RE,3,SW-81179C0,Y,1.04167,Rapido-2,100,1300,800,45*40,16.50,1753.45,9.80,A1605-25030258-7B,N,54.35,54.25,-0.10,,44.70,45.44,0.75,20.39,20.89,0.49,,,,,,,0.36,1362,0.68,1142,0.122,1565,0.011,無,0,無,0,無,0,無,0
F9302-25070895,F9302-25070895,GY,2,SCK-3230,N,1.66667,Rapido-2,200,1150,950,25*2,145.00,183.03,12.50,1711131-1A,N,32.95,31.99,-0.96,,-0.86,-0.75,0.11,-1.88,-1.31,0.57,,,,,,,0.94,1724,0.5508,1430,0.044,無,0,無,0,無,0,無,0,無,0
F9302-25070897,F9302-25070897,BK,3,SCK-3852,N,1.04167,Rapido-2,600,1300,1100,30*40,72.00,511.86,6.25,A1605-21040039-1C,Y,15.24,16.05,0.81,,0.46,0.37,-0.08,-1.06,-1.54,-0.47,,,,,,,1.05,1862,4.8,1863,0.55,1430,0.36,1142,0.0045,無,0,無,0,無,0
F9302-25070902,F9302-25070902,GR,2,SCK-3843S,Y,0.69444,Rapido-2,400,1200,1000,30*40,65.00,349.63,5.41,A1605-23050051-1A,N,35.28,34.87,-0.41,,-28.43,-28.63,-0.20,-2.24,-2.36,-0.12,,,,,,,0.27,1585,1.61,1588,1.271,1565,0.612,1142,0.369,1567,0.27,無,0,無,0
F9302-25070949,F9302-25070949,BK,7,SW-81179C0,Y,1.04167,Rapido-2,200,1300,800,45*4,49.00,808.63,6.58,A1605-25030258-3A,N,19.13,18.78,-0.35,,-0.31,-0.70,-0.39,-2.24,-2.90,-0.67,,,,,,,1.04,1862,2.95,1588,0.8,1391,0.5,1191,0.215,無,0,無,0,無,0
