發料單號,Name,色系名稱,色系編號,成品布號,OP否,DPF,機器規格,染缸容量KG,主泵轉數,帶布輪轉速,噴嘴大小,循環時間,總圈數,浴比,色號,是否有追加,標準樣L,L,CIE_DL,CMC_DL,標準樣a,a,CIE_Da,標準樣b,b,CIE_Db,標準樣C,C,CMC_DC,標準樣h,h,CMC_Dh,CMC_DE,配方料號1,配方濃度1,配方料號2,配方濃度2,配方料號3,配方濃度3,配方料號4,配方濃度4,配方料號5,配方濃度5,配方料號6,配方濃度6,配方料號7,配方濃度7
F9302-26031877,F9302-26031877,NB,3,SCK-3875,Y,2.08333,Rapido-2,200,1400,1000,45*30,51.00,877.82,6.52,A1605-23030186-1B,Y,21.45,22.54,1.09,0.85,-1.86,-2.04,-0.17,-8.99,-9.43,-0.44,9.18,9.65,0.40,258.30,257.82,-0.10,0.95,1593,1.77,1578,0.7434,1391,0.504,1142,0.285,無,0,無,0,無,0
F9302-26031887,F9302-26031887,KH,1,SW-80236C0,Y,1.04167,Rapido-2,400,1350,1050,35*30,69.50,438.59,4.72,A1605-24070031-1A,Y,78.69,79.30,0.61,0.23,-3.72,-3.79,-0.07,3.17,3.70,0.53,4.89,5.30,0.45,139.54,135.66,-0.42,0.65,1111,0.0225,1510,0.01805,1310,0.01496,無,0,無,0,無,0,無,0
F9302-26031900,F9302-26031900,GY,5,SW-8965C0,Y,0.69444,Rapido-2,400,1400,1000,40*40,75.00,366.36,4.40,A1605-25030213-1A,N,33.79,33.84,0.05,0.03,-0.39,-0.66,-0.27,-0.57,-0.71,-0.14,,0.97,0.41,,227.02,-0.18,0.44,1578,0.462,1722,0.2275,1142,0.0972,1391,0.0968,無,0,無,0,無,0
F9302-26031907,F9302-26031907,RW,5,SW-80180C0,N,1.04167,Rapido-2,100,1350,1200,30*30,22.50,621.24,9.38,A1605-25030194-2A,N,25.05,24.36,-0.69,-0.49,12.74,12.50,-0.24,1.51,1.67,0.16,,12.61,-0.17,,7.61,0.21,0.55,1724,1.425,1430,0.9595,1578,0.494,無,0,無,0,無,0,無,0
F9302-26031915,F9302-26031915,GY,5,SW-8965C0,Y,0.69444,Rapido-2,400,1400,1000,40*40,76.00,357.32,4.36,A1605-25030213-1A,N,33.79,33.16,-0.63,-0.36,-0.39,-0.64,-0.25,-0.57,-0.73,-0.16,,0.97,0.41,,228.74,-0.14,0.56,1578,0.4785,1722,0.235,1142,0.10044,1391,0.1001,無,0,無,0,無,0
F9302-26031916,F9302-26031916,GY,5,SW-8965C0,Y,0.69444,Rapido-2,400,1400,1000,40*40,52.00,775.54,5.38,A1605-25030213-1A,Y,33.79,33.97,0.18,0.10,-0.39,-0.66,-0.27,-0.57,-0.57,0.00,,0.88,0.27,,220.88,-0.29,0.41,1578,0.462,1722,0.2275,1142,0.0972,1391,0.0968,無,0,無,0,無,0
F9302-26031925,F9302-26031925,BK,3,SW-80082C0,Y,1.04167,Rapido-2,200,1300,1050,30*40,108.00,348.27,6.52,2010032-1A,Y,18.51,18.86,0.35,0.30,0.77,1.34,0.57,-1.18,-0.49,0.69,1.41,1.42,0.02,303.21,340.03,1.25,1.29,1862,3.15,1722,0.473,無,0,無,0,無,0,無,0,無,0
F9302-26031956,F9302-26031956,GY,2,SCK-3230,N,1.66667,Rapido-2,200,1050,850,25*20,101.00,180.26,20.00,1711131-1A,N,32.95,31.86,-1.09,-0.64,-0.86,-0.75,0.10,-1.88,-2.01,-0.13,,2.15,0.11,,249.47,0.20,0.68,1576,0.72215,1724,0.54,1430,0.04312,無,0,無,0,無,0,無,0
F9302-26031957,F9302-26031957,GY,2,SCK-3230,N,1.66667,Rapido-2,200,1050,850,25*20,99.00,180.60,20.00,1711131-1A,N,32.95,31.91,-1.04,-0.61,-0.86,-0.94,-0.08,-1.88,-1.96,-0.09,,2.17,0.15,,244.48,-0.05,0.63,1576,0.72215,1724,0.54,1430,0.04312,無,0,無,0,無,0,無,0
F9302-26031958,F9302-26031958,GY,2,SCK-3230,N,1.66667,Rapido-2,200,1050,850,25*20,88.00,218.45,20.00,1711131-1A,N,32.95,31.40,-1.55,-0.91,-0.86,-0.88,-0.02,-1.88,-2.17,-0.30,,2.34,0.37,,248.00,0.13,0.99,1576,0.72215,1724,0.54,1430,0.04312,無,0,無,0,無,0,無,0
